,p_change,code
0,6.12,600000
0,3.11,600004
0,13.64,600009
0,-7.1,600010
0,2.9,600011
0,-2.79,600015
0,0.95,600016
0,11.0,600018
0,-0.83,600019
0,-2.67,600023
0,-0.24,600025
0,-4.82,600027
0,-1.04,600028
0,-0.82,600029
0,-7.02,600030
0,-4.15,600031
0,1.56,600036
0,-9.03,600038
0,-5.27,600048
0,-1.77,600050
0,-4.41,600061
0,6.48,600066
0,-6.2,600068
0,4.14,600085
0,-6.64,600089
0,-15.64,600100
0,5.03,600104
0,-4.38,600109
0,-7.89,600111
0,-1.44,600115
0,-8.38,600118
0,11.2,600153
0,-5.05,600157
0,2.14,600170
0,1.87,600176
0,4.72,600177
0,7.92,600188
0,-2.28,600196
0,-10.15,600208
0,-5.99,600219
0,0.46,600221
0,-0.67,600233
0,-8.77,600271
0,0.5,600276
0,-6.6,600297
0,-0.66,600309
0,16.64,600332
0,-4.83,600339
0,1.29,600340
0,-3.89,600346
0,18.08,600352
0,-1.73,600362
0,-5.24,600369
0,-7.94,600372
0,-11.78,600383
0,2.86,600390
0,-7.17,600398
0,-5.59,600406
0,-9.66,600415
0,0.35,600436
0,17.35,600438
0,-9.98,600482
0,-5.37,600487
0,-7.13,600489
0,-7.04,600498
0,-7.13,600516
0,-8.71,600518
0,14.05,600519
0,1.91,600522
0,-2.66,600535
0,-6.14,600547
0,-11.34,600549
0,4.58,600566
0,-5.15,600570
0,-11.03,600583
0,4.64,600585
0,-6.87,600588
0,-0.93,600606
0,-8.1,600637
0,3.25,600660
0,-5.04,600674
0,-4.47,600688
0,0.41,600690
0,-10.97,600703
0,2.12,600704
0,-2.2,600705
0,-5.41,600739
0,15.46,600741
0,-6.29,600760
0,1.12,600795
0,-5.03,600809
0,-23.38,600816
0,-0.36,600837
0,-8.99,600867
0,-2.53,600886
0,6.49,600887
0,-7.92,600893
0,0.0,600900
0,-6.71,600909
0,2.94,600919
0,3.14,600926
0,-6.29,600958
0,1.52,600977
0,0.13,600998
0,0.06,600999
0,2.16,601006
0,9.61,601009
0,-13.03,601012
0,22.99,601018
0,3.47,601021
0,-8.57,601066
0,0.41,601088
0,-14.71,601108
0,-6.37,601111
0,-4.02,601117
0,4.54,601138
0,-12.25,601155
0,9.63,601166
0,2.74,601169
0,-5.82,601186
0,-3.99,601198
0,-6.55,601211
0,-11.26,601212
0,-8.79,601216
0,1.24,601225
0,-7.89,601228
0,5.76,601229
0,6.93,601238
0,0.8,601288
0,11.67,601318
0,0.32,601328
