,code,name,net_profit_ratio,p_undulate,turnover_rate,currentasset_turnover,currentratio,sheqratio,net_profit_ration,sheqration,score
0,600000,浦发银行,32.86,0.39988936677737585,0.9574816026165169,0.0,0.0,7.5666,32.86,7.5666,35.88234137479527
1,600000,浦发银行,32.86,0.39988936677737585,0.9574816026165169,0.0,0.0,7.5666,32.86,7.5666,35.88234137479527
2,600004,白云机场,11.65,0.6502923890720291,1.0,0.6123,0.3104,62.6884,11.65,62.6884,46.53676778144058
3,600009,上海机场,50.14,0.49716840339042656,0.5672029060716139,0.2575,5.1268,93.3685,50.14,93.3685,72.67233665888274
4,600010,包钢股份,3.62,0.5668977085401945,0.6948996380388285,0.3157,0.5325,36.9623,3.62,36.9623,32.455563741386314
5,600011,华能国际,5.81,0.47627177238988294,0.6688750159255956,0.7421,0.4354,26.373,5.81,26.373,36.509710686681586
6,600015,华夏银行,23.59,0.2938589080785936,0.833365828296614,0.0,0.0,7.687,23.59,7.687,28.198015586021082
7,600018,上港集团,23.56,0.5685386296258993,1.0,0.1837,1.9865,63.9536,23.56,63.9536,51.68045259251799
8,600019,宝钢股份,4.16,0.37937088550390985,0.9921440114921889,0.5267,0.9578,56.2501,4.16,56.2501,39.63558288246103
9,600023,浙能电力,8.08,0.24099518901617523,1.0,0.5536,1.6179,64.0098,8.08,64.0098,42.64589378032351
10,600025,华能水电,18.12,0.4337972323067528,0.496,0.4819,0.2202,27.4494,18.12,27.4494,33.065914646135056
11,600027,华电国际,3.31,0.4333528426174572,0.709317651830072,0.9103,0.3453,30.1587,3.31,30.1587,37.51975662980023
12,600028,中国石化,2.05,0.3613265687506672,0.7892724104038127,1.3757,0.9366,48.6419,2.05,48.6419,47.63621253107053
13,600029,南方航空,7.03,0.5331917325516204,0.5725116165321594,1.6284,0.2445,26.095,7.03,26.095,49.0167588990148
14,600030,中信证券,40.46,0.7743682263627699,0.8100189815961046,0.0,0.0,24.0129,40.46,24.0129,45.02229425119697
